state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,candidate_index
0,0.05,0.01,121,0.07933235179000536,0.9771300119380913,1.5742084887953303,4.9503734565168366e-05,train,0
1,0.05,1.0,51,0.05212750443075262,0.9261603754980834,2.8309820485351955,8.527803960073387e-05,train,1
2,0.2,0.01,71,0.19793196193842671,0.013867707121111452,2.1855458512445023,9.327869638409915e-05,train,2
3,0.2,1.0,131,0.1784137801879243,0.6781696370038233,1.503774373058684,5.6129304700420925e-05,train,3
4,0.08940942100276,0.06399092250153003,101,0.11544531213236767,0.6097308674292365,1.7467488856288589,5.9679505943881594e-05,test,4078
5,0.16603270740862186,0.05445825471644811,74,0.1656596464675465,0.02211873615304392,2.177797469948426,8.712922265705344e-05,train,5800
6,0.1079127071719528,0.030907429175694726,108,0.11003598640779329,0.040521559914352,1.6815599007187332,6.0148230536813815e-05,train,2828
7,0.06815221522300274,0.011525895953342656,129,0.06809550770314718,0.0482123530347623,1.5062322535637365,4.929919706970372e-05,test,4839
8,0.14526247815059398,0.020508803358102866,90,0.19650190672035905,0.6151333627248814,1.8956429051804926,7.319382476588077e-05,train,744
9,0.18207180334019896,0.02329899468142813,72,0.19807870933877036,0.163378173484396,2.1848701794117122,9.048107947826181e-05,test,4346
10,0.0633501896860442,0.9623849036245169,56,0.054970881570592114,0.7359821991547137,2.7447994561547104,8.409892115244419e-05,train,3306
11,0.14409994968715176,0.851879989104603,112,0.14770548463750968,0.8769938366737888,1.6166641091521938,5.661725588507479e-05,train,1740
12,0.11868467587314302,0.9304749254198745,117,0.07975526621030833,0.08548105499734567,1.6136378935361524,5.4002959575023304e-05,train,4023
13,0.11977096980039095,0.05554757870558904,110,0.14255057558221382,0.3719038415254588,1.6326934946585019,5.96651999710089e-05,train,1948
14,0.08717912993323534,0.8363945054469589,125,0.058629929455756916,0.0320411630302451,1.5418797035903442,4.942100570175217e-05,train,2950
15,0.14007548782881976,0.07338422004144853,91,0.1931342181722298,0.749933248211177,1.8459317202537404,6.992798171426504e-05,train,1327
16,0.17968780832616904,0.1019026152731475,73,0.1746732546107934,0.018932285245407986,2.214841996102447,9.015648665603575e-05,train,4857
17,0.16229741039532386,0.12155895604632504,114,0.19639050386973533,0.5163393246883292,1.6042025221729816,6.288315840631111e-05,train,2549
18,0.19077829290152554,0.014380574148729633,80,0.19382957048723548,0.021708162549252674,2.118265388393367,8.924453576068763e-05,train,3800
19,0.0687100070605372,0.8938157508794065,52,0.06788818098017216,0.7354747583351078,2.846355773234007,8.868464307386611e-05,test,5051
20,0.15508645206564814,0.6761476984750956,126,0.1672618726329655,0.8305416029234257,1.5649725817393758,5.65877973425194e-05,val,331
21,0.12321098213162529,0.02231554958187246,119,0.1443682404501329,0.3091829289333753,1.5786992461218472,5.8334754362208856e-05,test,5465
22,0.09235457793417426,0.01732376903535717,92,0.13734704270700046,0.8790402183134378,1.7914178696506324,6.192890758362634e-05,train,4293
23,0.10179041877088224,0.012762115373589667,82,0.1580420583763331,0.951045605336538,2.092729704587291,7.39843399138774e-05,train,2291
24,0.12249007580062865,0.8525129118025891,115,0.13008736406785615,0.9700592823359213,1.60079645340396,5.429292002858663e-05,test,587
25,0.07846148764935199,0.15635893622718539,107,0.11220161890094464,0.9808183023142609,1.6855419975056802,5.580463522056407e-05,train,3686
26,0.050418385504065785,0.6669609130005246,56,0.054970881570592114,0.7359821991547137,2.7023301786526863,8.23494802303758e-05,train,5489
27,0.06851261250143342,0.16070316666936804,120,0.10014961186027854,0.9741391871117342,1.5769108224424497,5.11953930663665e-05,train,1791
28,0.07911951059812522,0.7933110703798955,128,0.055619618112921654,0.01689951797810377,1.5680773246862676,4.98386206314952e-05,train,5283
29,0.19179515883699716,0.6461131196033661,105,0.13990971470309002,0.010769923278683896,1.6711621542439241,6.38896547420212e-05,train,4363
30,0.13268916617292625,0.032606314666814025,106,0.1986895200866678,0.889041241844021,2.2047146994586297,8.28585896255832e-05,train,5313
31,0.18594622651330217,0.4470963248797578,66,0.15134695171259638,0.014559433384117467,2.3171279674034033,9.033079226813769e-05,train,2455
32,0.1993501576664894,0.4708600146560491,69,0.15971885253061524,0.05921071419343687,2.2607975047335556,8.93136065023142e-05,train,5072
33,0.17876019545904975,0.14476574995669975,79,0.17226786005912484,0.046242858973346096,2.1290144258123602,8.591129274844712e-05,test,1569
34,0.19518327699775234,0.21057426165881382,73,0.1746732546107934,0.018932285245407986,2.1844285573728746,8.93040690758292e-05,val,4482
35,0.19057079754090794,0.06255165032726492,76,0.18857775531258913,0.01622171963764681,2.1733628619046823,9.07876925968268e-05,train,4569
36,0.19535713903355206,0.01307057589548037,80,0.19382957048723548,0.021708162549252674,2.1211550383678364,8.974378882546264e-05,train,991
37,0.18634664455885025,0.9776175130353164,110,0.14255057558221382,0.3719038415254588,1.8594734101325496,6.814154635830102e-05,train,5380
38,0.1628626409854423,0.982906649091139,103,0.1289017528796782,0.4052611165918742,1.6961357301806064,6.033212435796446e-05,train,1884
39,0.13609858000080177,0.9058079119590267,94,0.09157418600121986,0.036727210176306646,1.822626868142689,6.277455191120155e-05,train,5247
40,0.07994874192266524,0.014029992349982699,111,0.11803151093760447,0.8593303666568922,1.629357671831452,5.481444092137127e-05,test,435
41,0.1291706423139488,0.06936066756244438,119,0.1443682404501329,0.3091829289333753,1.6491261848210461,6.112004126612434e-05,val,5248
42,0.16987109542985457,0.9857912693415857,104,0.16098134715275525,0.8030056157915935,1.6867673838964192,6.059454877760061e-05,test,5531
43,0.1646422262645824,0.7584169538715138,126,0.1672618726329655,0.8305416029234257,1.5376582606154783,5.576997905653838e-05,val,5848
44,0.09420928304872295,0.7535942156500378,129,0.06809550770314718,0.0482123530347623,1.5568903406676562,5.082687705148426e-05,train,2244
