state_id,selected_index,candidate_state_index,split,a1,a2,a3,m,gamma
3P_S00000004,0,4,train,0.2,0.025,0.0,0.4,0.01
3P_S00007963,1,7963,test,0.058332923468668585,0.025,0.0,1.1978286912750837,0.9338794769003573
3P_S00022590,2,22590,train,0.1987595526666323,0.025,0.0,0.7645387835340021,0.8687710921085854
3P_S00028557,3,28557,train,0.05004915081570458,0.025,0.0,0.4087909546064603,0.08186945549056725
3P_S00000006,4,6,train,0.2,0.025,0.0,1.2,0.01
3P_S00020248,5,20248,test,0.14170536063558942,0.025,0.0,1.1231866448876318,0.168521424245163
3P_S00003203,6,3203,train,0.056229037590776694,0.025,0.0,0.6885225734674929,0.918530963783037
3P_S00011543,7,11543,val,0.19908907022920702,0.025,0.0,0.796863136176108,0.044655893935519185
3P_S00000007,8,7,train,0.2,0.025,0.0,1.2,1.0
3P_S00017590,9,17590,train,0.12519535770657908,0.025,0.0,0.7572133956702638,0.3965370199288252
3P_S00036288,10,36288,train,0.12488671770573273,0.025,0.0,0.4010556759211323,0.03208526163245503
3P_S00021978,11,21978,train,0.1693929438403095,0.025,0.0,0.4206810755272575,0.6890586167135812
3P_S00015119,12,15119,train,0.16610075075317932,0.025,0.0,0.9856918159378354,0.5297423591381181
3P_S00038367,13,38367,train,0.050483377854264815,0.025,0.0,0.40448149420054635,0.5411618417034194
3P_S00002638,14,2638,train,0.1614631736565416,0.025,0.0,0.647740429823171,0.6227129509435443
3P_S00006110,15,6110,train,0.11854008047736013,0.025,0.0,1.1652152492610641,0.9180667594615151
3P_S00032664,16,32664,train,0.19908422687047428,0.025,0.0,1.1720664032898942,0.09601646369282141
3P_S00003749,17,3749,train,0.19641783381826622,0.025,0.0,0.48772086311150037,0.06615641598268582
3P_S00032271,18,32271,train,0.19232222840933405,0.025,0.0,0.567726955096874,0.8787669495479842
3P_S00018240,19,18240,test,0.16347017066909608,0.025,0.0,0.8098410742546841,0.28366254961530546
3P_S00039030,20,39030,train,0.16566544789738796,0.025,0.0,1.1999604982156242,0.5039166427236017
3P_S00044523,21,44523,train,0.08811674525016175,0.025,0.0,1.1722707280680957,0.21416361032191614
