state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,pool_candidate_index,m,nearest_m,remote_alias_rms_snr,remote_alias_pool_index,remote_alias_a1,remote_alias_m,remote_alias_gamma
0,0.20000000298023224,0.009999999776482582,55,0.19940778613090515,0.01039612852036953,2.0253012230308993,8.746903991638957e-05,train,4,0.4000000059604645,0.48953020572662354,1.9760453701019287,10940,0.1988605111837387,0.40805333852767944,0.017295390367507935
1,0.05000000074505806,1.0,65,0.05077136680483818,0.9670494198799133,1.3766435491775435,4.123259201373015e-05,train,3,1.2000000476837158,1.155943751335144,1.3766435384750366,19205,0.05077136680483818,1.155943751335144,0.9670494198799133
2,0.1665407121181488,0.79485023021698,54,0.17401310801506042,0.9544164538383484,2.0221327448867568,7.267443413544954e-05,train,5151,1.1128731966018677,1.080429196357727,0.428350031375885,15689,0.16298210620880127,1.1851484775543213,0.7176918387413025
3,0.19991262257099152,0.41960686445236206,38,0.19406667351722717,0.31692394614219666,3.5141348764172986,0.0001394596937241682,train,7668,1.1788294315338135,1.178320288658142,0.6297058463096619,1313,0.1900542825460434,1.1085981130599976,0.33421576023101807
4,0.11366858333349228,0.9948613047599792,64,0.11198372393846512,0.9937925934791565,1.3976181386598128,4.586544786096594e-05,train,653,1.1610074043273926,1.1808490753173828,0.5005043745040894,16770,0.10762611031532288,1.1287858486175537,0.884708046913147
5,0.19050277769565582,0.6783726811408997,49,0.19225510954856873,0.633385956287384,2.3896629690215834,9.04810399585801e-05,train,10010,1.0672075748443604,1.179425597190857,0.4401922821998596,17097,0.16937530040740967,1.1910514831542969,0.4143281877040863
6,0.050013091415166855,0.11112694442272186,27,0.07842407375574112,0.7589638233184814,5.5028279944161245,0.00017304621936128375,train,1005,0.403553307056427,1.174213171005249,0.41200530529022217,9968,0.058875974267721176,0.4018944203853607,0.38741716742515564
7,0.14581391215324402,0.9556028842926025,59,0.142024427652359,0.8969312310218811,1.7855397279916738,6.154407198355346e-05,train,4244,1.1989195346832275,1.0615938901901245,0.43089720606803894,4386,0.13361935317516327,1.1784648895263672,0.7592740058898926
8,0.18132974207401276,0.06749077141284943,34,0.19977979362010956,0.16339285671710968,4.021702482500993,0.00016558090718189698,train,16676,0.616062581539154,1.1989428997039795,0.4401611387729645,14962,0.17823302745819092,0.6748326420783997,0.02183588035404682
9,0.20000000298023224,0.009999999776482582,60,0.19944490492343903,0.014851102605462074,1.711177293601902,7.247214840958006e-05,train,6,1.2000000476837158,1.0412448644638062,0.5328138470649719,2236,0.19966758787631989,1.1332173347473145,0.021542474627494812
10,0.19150476157665253,0.868707001209259,56,0.16851088404655457,0.5451908707618713,2.0002871763215215,7.397685180656122e-05,train,12142,1.1599730253219604,1.1949210166931152,0.6594834327697754,11787,0.16642989218235016,1.1927660703659058,0.5547923445701599
11,0.17875845730304718,0.351784348487854,50,0.18068307638168335,0.3536238670349121,2.3641811033315463,9.160903423169884e-05,train,3470,1.179527759552002,1.1083215475082397,0.4625633656978607,2011,0.16331462562084198,1.1775394678115845,0.17918607592582703
12,0.15830986201763153,0.9235303401947021,67,0.14218172430992126,0.6934796571731567,1.3270703551449559,4.666557537847928e-05,train,157,1.0866564512252808,1.101689100265503,0.444081574678421,10073,0.16046907007694244,0.9681673645973206,0.9938151836395264
13,0.1301306039094925,0.962524950504303,43,0.1334012746810913,0.9308894276618958,3.744614808490695,0.0001266242009343723,train,14518,1.1711537837982178,1.1501753330230713,0.610198438167572,15874,0.12667161226272583,1.092236042022705,0.9390340447425842
14,0.056479938328266144,0.8922850489616394,62,0.051394347101449966,0.826309323310852,3.5087516043011147,0.0001065547631239704,train,11449,0.43152666091918945,0.8070570826530457,0.4024069309234619,18007,0.05274549499154091,0.6143927574157715,0.7447851896286011
15,0.16484218835830688,0.010253780521452427,33,0.16958832740783691,0.012892983853816986,4.684099847116556,0.00019036403860718778,train,9741,0.4607515037059784,0.4338585436344147,0.406017005443573,7480,0.1641562134027481,0.4012283980846405,0.010949144139885902
16,0.09580234438180923,0.08036686480045319,30,0.1521996557712555,0.940778911113739,4.794785860650806,0.00016679557247767046,train,7683,0.4006008505821228,1.162037968635559,0.5286808609962463,7123,0.09466369450092316,0.5052090287208557,0.05855690687894821
17,0.19372330605983734,0.03695796802639961,42,0.1945643126964569,0.021702036261558533,4.308246737883943,0.00018040160917412316,train,14428,1.1529678106307983,0.9986835718154907,0.400799423456192,2208,0.19116613268852234,1.1082576513290405,0.02015034481883049
18,0.19872336089611053,0.3181172013282776,38,0.19406667351722717,0.31692394614219666,3.6906089205144186,0.0001475122835658358,train,15912,1.17076575756073,1.178320288658142,0.5273945927619934,6115,0.1732126921415329,1.1971925497055054,0.0463101826608181
19,0.15357260406017303,0.06631792336702347,66,0.199713334441185,0.4803920090198517,5.558892044709522,0.00021792568949834552,train,5064,0.411262571811676,1.1611992120742798,0.44254255294799805,8466,0.14960014820098877,0.4448782801628113,0.025348128750920296
20,0.19242066144943237,0.0162788275629282,57,0.19064995646476746,0.020510559901595116,1.9579055229875297,8.323292471595259e-05,train,10891,0.4195077121257782,0.40893593430519104,0.5255428552627563,2898,0.1977454572916031,0.4516943395137787,0.054516732692718506
21,0.05037470534443855,0.31613224744796753,6,0.050013091415166855,0.11112694442272186,6.679491849468884,0.00020761854420101605,train,14702,0.4099143445491791,0.403553307056427,0.43457964062690735,441,0.05473829433321953,0.42093944549560547,0.48873069882392883
22,0.11602025479078293,0.010694230906665325,41,0.1840479075908661,0.8383133411407471,5.698113163763038,0.0002089688164395672,train,18015,0.40288853645324707,1.1671333312988281,0.4216260015964508,16907,0.1184583231806755,0.4577975571155548,0.042018186300992966
