state_id,split,a1,a2,a3,m,gamma
36954,train,0.1639588685706258,0.025,0.0,0.9388482108712196,0.3151905524741272
43235,train,0.06508896141313017,0.025,0.0,0.400128448009491,0.01965680558318335
27020,train,0.05396774569526315,0.025,0.0,1.1285501889884473,0.023378830652006848
20403,train,0.05036928723566234,0.025,0.0,0.5713280975818634,0.981863911527326
23933,train,0.19995604250580074,0.025,0.0,0.6002859130501748,0.011183724204797874
47612,train,0.062211250374093655,0.025,0.0,1.1932418413460253,0.9933856554309576
14890,train,0.17241411898285153,0.025,0.0,1.190443619340658,0.01144663497045597
15581,train,0.19528155736625197,0.025,0.0,0.40606362000107765,0.623369877122705
26351,train,0.11607323680073024,0.025,0.0,0.7837131291627883,0.010364736088823092
47023,train,0.1186610320582986,0.025,0.0,0.5228163331747055,0.18860471785136818
44908,train,0.056989539274945857,0.025,0.0,0.807711485773325,0.12509506308416965
43296,train,0.1097791621927172,0.025,0.0,1.1979442782700063,0.12252325685644101
13149,train,0.19391688238829374,0.025,0.0,0.6507624544203281,0.09618365631371588
17054,train,0.1310329024679959,0.025,0.0,1.1941224232316017,0.9656855288994776
15282,train,0.18607013425789776,0.025,0.0,1.1974529854953289,0.08741038189465683
29137,train,0.1434486834332347,0.025,0.0,0.48113246336579324,0.0276416383995828
21704,train,0.09486225987784566,0.025,0.0,0.869789543747902,0.6377711021900164
25858,train,0.1986461183987558,0.025,0.0,1.1862529709935188,0.8560094739887439
10890,train,0.17761286939494314,0.025,0.0,0.8880806736648083,0.027110694488185462
46985,train,0.14443188123404982,0.025,0.0,0.6375678606331349,0.9428366545589089
39456,train,0.11071149888448419,0.025,0.0,1.191649518162012,0.011547441314932442
17728,train,0.11097410977818073,0.025,0.0,0.8684605464339257,0.06469085126971846
39907,train,0.06426591803319753,0.025,0.0,0.4064323455095291,0.209622650623434
38397,train,0.19787906208075584,0.025,0.0,0.7700512483716011,0.8618850596311263
39660,train,0.055279417987912895,0.025,0.0,1.1990382455289363,0.1266810714289931
1831,train,0.09721836885437371,0.025,0.0,0.6003743179142476,0.030242008260191813
31222,train,0.14590160828083754,0.025,0.0,1.0793328188359737,0.03569592400666443
40777,train,0.14752505915239456,0.025,0.0,0.7457808516919613,0.12645018971413746
38655,train,0.11357693197205664,0.025,0.0,0.41995969489216806,0.7459154375388077
8075,train,0.07840581722557545,0.025,0.0,0.6436148911714554,0.3078114616514722
