safety_rank,candidate_index,a1,m,gamma,remote_alias_rms_snr,alias_candidate_index,alias_a1,alias_m,alias_gamma,alias_gamma_factor,retrieved_remote_count
1,4,0.2,0.4,0.01,1.9760453820979047,10940,0.19886050623626417,0.40805333042122505,0.01729539068330735,1.7295390683307348,403
2,3,0.05,1.2,1.0,1.3766435491775435,19205,0.050771366827305556,1.1559437896466573,0.9670494262211472,1.0340733088562089,390
3,1,0.05,0.4,1.0,1.0467737115422966,1612,0.05073699651092368,0.9828018279561671,0.9398805932703443,1.0639649410362526,389
4,19205,0.050771366827305556,1.1559437896466573,0.9670494262211472,0.7549551585117118,11059,0.05148005640183043,1.0403785734876831,0.9987300451980574,1.0327600824920664,386
5,2856,0.12961313689586978,1.1840084414992706,0.943134133690774,0.7188251874607616,893,0.11596760142765071,1.1237047914384677,0.6926475354004155,1.3616364535904308,473
6,10301,0.1975267719954094,1.1827443984077082,0.47313757384856475,0.7053210682486188,4998,0.18617208599446972,1.1836633299858392,0.34807264386733294,1.3593069785423872,459
7,3348,0.1167874679496538,1.1823638935534277,0.8749439943072833,0.6974795703117459,14718,0.11553581747932348,0.9416502163121248,0.9386020965163355,1.0727567737172161,486
8,17361,0.18093213165315408,1.1998838591061944,0.7757042822812846,0.6871158952718959,19166,0.1594797962713641,1.1921176777898697,0.5120450955312011,1.5149139969333376,482
9,14286,0.05157090058157837,0.8141498554206494,0.9291512432156648,0.6699414300055654,10814,0.05280032578463765,0.6424117841709215,0.999010243656403,1.075185822492112,385
10,12142,0.19150475590157773,1.1599730823228134,0.8687070188260668,0.6594834033052782,11787,0.16642989510881306,1.1927661254507316,0.5547923548753577,1.5658237017725931,479
11,11059,0.05148005640183043,1.0403785734876831,0.9987300451980574,0.6547645832131421,1612,0.05073699651092368,0.9828018279561671,0.9398805932703443,1.062613753650285,388
12,12202,0.15136123941113444,1.145867667893218,0.9853703279298764,0.6492532604530502,19216,0.14236368630121632,1.0875691742635536,0.8658635601457186,1.1380203224674863,467
13,252,0.19490443493130338,1.1690480647133406,0.04318866453089964,0.6477989495235255,4989,0.19357178339242592,1.1802962127654775,0.01970752784361159,2.1914805790772847,438
14,1378,0.19930772175587175,0.4967834123055783,0.01888111833752726,0.6421110857490107,5363,0.1997674570156871,0.4457467317784893,0.03448507912481401,1.8264320210457567,399
15,7668,0.19991262063216253,1.178829430964877,0.41960687778245553,0.6297058380892498,1313,0.1900542829260754,1.1085980966235294,0.33421576962057126,1.2554969451585938,469
16,14968,0.1951759167716468,1.1640823274923866,0.8521296044206185,0.6269054342506972,6116,0.1921792925096491,1.0238781090106095,0.8565868436472752,1.0052307057559482,491
17,7115,0.19729752114462318,1.1767419309396816,0.4709961678798829,0.6227941453180775,4998,0.18617208599446972,1.1836633299858392,0.34807264386733294,1.3531547973629379,458
18,8542,0.1801826521080092,1.1968829750103926,0.8178955531213059,0.6198128017359689,7155,0.18172474953210582,1.113058115566457,0.875960376335058,1.0709929562425928,486
19,7303,0.15011348867508745,1.15519766115142,0.9931403113257028,0.6160626448647522,5462,0.14202443430385941,1.0615938518838672,0.8969312520978603,1.1072646972695133,483
20,10940,0.19886050623626417,0.40805333042122505,0.01729539068330735,0.6147095520038862,19638,0.19940778119927582,0.48953020783150836,0.010396128648286363,1.6636376163119355,397
