state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,pool_candidate_index,remote_alias_rms_snr,remote_alias_a1,remote_alias_gamma
0,0.050318215042352676,0.9688354134559631,53,0.05059172958135605,0.8058421611785889,2.8045126133321734,8.459556223339588e-05,train,9891,8.737868309020996,0.05000000074505806,0.48417237401008606
1,0.19995014369487762,0.01053173653781414,102,0.1989269107580185,0.01824945956468582,1.592111586079732,6.797878396037751e-05,train,15320,0.8874795436859131,0.20000000298023224,0.021074146032333374
2,0.155655175447464,0.7520557045936584,94,0.11980262398719788,0.2168952226638794,1.620202192222872,5.8049226325350096e-05,train,8336,0.86440110206604,0.1311466097831726,0.37583741545677185
3,0.16994507610797882,0.223872110247612,113,0.19959601759910583,0.5293586254119873,1.6171928024517004,6.342479485675009e-05,train,14141,0.2873857915401459,0.16039501130580902,0.111879363656044
4,0.09191366285085678,0.5888436436653137,114,0.10635624825954437,1.0,1.4978103824945421,4.913015786679311e-05,train,10944,0.46511974930763245,0.07968993484973907,0.2942727208137512
5,0.1422635018825531,0.1856735348701477,115,0.15468370914459229,0.3715352416038513,1.5732465543625902,5.8871852333347916e-05,train,6563,0.20703202486038208,0.13561688363552094,0.09278974682092667
6,0.10292575508356094,0.30725574493408203,138,0.10180491954088211,0.2577804625034332,1.4270321227651306,4.904272714321536e-05,train,9953,0.27423515915870667,0.0950838252902031,0.15355005860328674
7,0.18972432613372803,0.16218100488185883,140,0.18965736031532288,0.17782793939113617,1.377827246293012,5.631032223740603e-05,train,18475,0.2195386439561844,0.18197844922542572,0.08104943484067917
8,0.0650363489985466,0.5202954411506653,141,0.07482903450727463,0.7943282127380371,1.3938051046423534,4.387483808792463e-05,train,10860,0.3102574050426483,0.057174332439899445,0.26001596450805664
9,0.1939813643693924,0.6569011211395264,118,0.15446297824382782,0.17528711259365082,1.5825357950778507,6.0687576868145256e-05,train,2969,0.9159496426582336,0.1660650372505188,0.32828420400619507
10,0.11013516038656235,0.22842834889888763,126,0.11445794999599457,0.2770129144191742,1.4514697926010354,5.099580715038406e-05,train,3631,0.21227648854255676,0.10382285714149475,0.1141563281416893
11,0.1148306131362915,0.8058421611785889,96,0.09014973044395447,0.311709463596344,1.7222512038781435,5.774043302894397e-05,train,9558,0.7125462889671326,0.09596559405326843,0.4027170240879059
12,0.13717439770698547,0.2826506495475769,119,0.14093056321144104,0.3599564731121063,1.524628008919353,5.580969278246814e-05,train,3600,0.31459522247314453,0.12751638889312744,0.1412537544965744
13,0.05885235220193863,0.7434470057487488,131,0.05189569666981697,0.5188000202178955,1.3969092913632744,4.289931821287454e-05,train,3661,0.5201219916343689,0.05000000074505806,0.3715352416038513
14,0.17650800943374634,0.1562248021364212,128,0.19450663030147552,0.32828420400619507,1.4240374878508093,5.709015116919454e-05,train,19295,0.20077325403690338,0.1695665419101715,0.07807284593582153
15,0.09264887124300003,0.9772372245788574,116,0.06851871311664581,0.31988951563835144,1.4888395979084552,4.778010796792349e-05,train,5018,0.6700945496559143,0.0757279098033905,0.4883711636066437
16,0.19976381957530975,0.15266869962215424,62,0.19944798946380615,0.1762990653514862,2.3336178659304694,9.708260780523116e-05,train,10207,0.2129838913679123,0.19208687543869019,0.07629568874835968
17,0.1958242505788803,0.9971259236335754,109,0.157695934176445,0.4570882022380829,1.6230126523440855,6.0242774100911786e-05,train,12831,1.029470682144165,0.16582424938678741,0.5804302096366882
18,0.14337444305419922,0.9332543015480042,124,0.1467571258544922,0.9577452540397644,1.5003027174312895,5.21548783812256e-05,train,8899,0.9373888969421387,0.11779969185590744,0.46639081835746765
19,0.15221089124679565,0.8198794722557068,91,0.1196637749671936,0.27305492758750916,1.6301257426529232,5.7884618460257775e-05,train,14907,0.9037281274795532,0.1269473135471344,0.4097321033477783
20,0.19389833509922028,0.7542234063148499,143,0.19470247626304626,0.7943282127380371,1.6224991341623243,6.137509873301143e-05,train,6086,1.0015144348144531,0.16389833390712738,0.3845917880535126
21,0.17337214946746826,0.906775951385498,77,0.1726711094379425,0.9359443187713623,1.7529310393025737,6.348082719450524e-05,train,11846,1.0516307353973389,0.14337214827537537,0.4610520899295807
22,0.08484135568141937,0.2842824161052704,111,0.08751410245895386,0.3099202811717987,1.527362418373599,5.079648072975502e-05,train,16782,0.2160600870847702,0.078835129737854,0.14206922054290771
23,0.05658945441246033,0.9386420249938965,134,0.05212659761309624,0.6569011211395264,1.390010124206772,4.233538943120352e-05,train,1207,3.5242905616760254,0.05000000074505806,0.46908333897590637
24,0.1960342675447464,0.5922430753707886,112,0.16096754372119904,0.1788545548915863,1.5055944853836825,5.8382222365726375e-05,train,11742,0.8448745608329773,0.16985143721103668,0.2959715723991394
25,0.07979483157396317,0.4403013288974762,110,0.10096519440412521,0.9549925923347473,1.593716489391742,5.18413238300035e-05,train,17727,0.3176388442516327,0.07139023393392563,0.22003917396068573
26,0.10050074011087418,0.37475720047950745,133,0.12810246646404266,0.963274359703064,1.3902542527162831,4.715095081112014e-05,train,8506,0.3290198743343353,0.09130953997373581,0.1872837096452713
27,0.17200015485286713,0.1757923662662506,125,0.17281298339366913,0.16691678762435913,1.420638866360287,5.633232285950943e-05,train,17980,0.22376097738742828,0.1643897145986557,0.08785166591405869
28,0.05418049544095993,0.33982083201408386,135,0.06491587311029434,0.6741398572921753,1.4038951523323788,4.3707748873779225e-05,train,5233,0.3793262839317322,0.06354278326034546,0.6799860596656799
29,0.19888076186180115,0.31988951563835144,137,0.18876324594020844,0.20183663070201874,1.4055478399984376,5.697424894569907e-05,train,9024,0.467631459236145,0.18314601480960846,0.15986375510692596
30,0.06616850942373276,0.3801893889904022,139,0.08071150630712509,0.878516674041748,1.4414943760544914,4.574363280107176e-05,train,12675,0.2346327006816864,0.06003860384225845,0.18999841809272766
31,0.1950864940881729,0.16125009953975677,62,0.19944798946380615,0.1762990653514862,2.400226424053123,9.938499716042813e-05,train,12939,0.2223096489906311,0.18716742098331451,0.08058422058820724
32,0.13445007801055908,0.19442406296730042,104,0.13482563197612762,0.22451740503311157,1.6094107584432888,5.927983117485628e-05,train,19594,0.20851737260818481,0.1278749257326126,0.09716279804706573
33,0.15151794254779816,0.19054606556892395,83,0.19858838617801666,0.7762471437454224,1.7368450963677775,6.611650420149807e-05,train,12496,0.22287237644195557,0.14425459504127502,0.0952247828245163
34,0.1255984902381897,0.24196358025074005,90,0.12220026552677155,0.2187761664390564,1.8107974308874792,6.520101830872177e-05,train,2128,0.24982424080371857,0.11798437684774399,0.12092051655054092
35,0.1203465610742569,0.2555641829967499,91,0.1196637749671936,0.27305492758750916,1.6572879912748675,5.900502059616501e-05,train,13958,0.25609278678894043,0.11265382170677185,0.12771737575531006
36,0.14303487539291382,0.24057473242282867,115,0.15468370914459229,0.3715352416038513,1.544594092239611,5.762727506336978e-05,train,6862,0.2738664746284485,0.13441210985183716,0.12022644281387329
37,0.15804553031921387,0.19442406296730042,106,0.1989620327949524,0.6569011211395264,1.5492223698722922,5.973239465102322e-05,train,19448,0.23475489020347595,0.15031646192073822,0.09716279804706573
38,0.10268215090036392,0.2440619021654129,138,0.10180491954088211,0.2577804625034332,1.5646532297784659,5.393175227845109e-05,train,6121,0.21530991792678833,0.09640484303236008,0.12196914851665497
39,0.19528250396251678,0.8269895315170288,143,0.19470247626304626,0.7943282127380371,1.3232466273945513,4.990960720299182e-05,train,5853,1.0122992992401123,0.1652825027704239,0.4466835856437683
40,0.12900850176811218,0.875991702079773,144,0.13237720727920532,0.9885531067848206,1.4437630749335166,4.921538953963258e-05,train,14255,0.8280764222145081,0.10676931589841843,0.43777403235435486
41,0.14896592497825623,0.9605058431625366,124,0.1467571258544922,0.9577452540397644,1.457281854754698,5.080875162896996e-05,train,16607,0.9829038977622986,0.12199576199054718,0.48000967502593994
42,0.12993216514587402,0.223872110247612,119,0.14093056321144104,0.3599564731121063,1.4651555082942347,5.347533477855166e-05,train,15301,0.236110121011734,0.12263061851263046,0.111879363656044
43,0.10934481024742126,0.9305720329284668,97,0.083027683198452,0.3368992209434509,1.6104144478634095,5.312560972680498e-05,train,13686,0.7500301003456116,0.08986958861351013,0.4650503695011139
44,0.11409350484609604,0.24547089636325836,126,0.11445794999599457,0.2770129144191742,1.4197769084519754,5.0024762932426484e-05,train,5774,0.23546035587787628,0.10707949846982956,0.12267328798770905
45,0.06704575568437576,0.32173624634742737,116,0.06851871311664581,0.31988951563835144,1.5609580876431304,4.9954193146857106e-05,train,2071,0.20086658000946045,0.06171282008290291,0.16078665852546692
46,0.16672326624393463,0.22451740503311157,136,0.1991901844739914,0.6008277535438538,1.3885526480857004,5.402848853957947e-05,train,11859,0.28439363837242126,0.1573277860879898,0.11220184713602066
47,0.1258966326713562,0.9688354134559631,88,0.0929485410451889,0.2555641829967499,1.645605610093878,5.562135205758717e-05,train,6711,0.8627009391784668,0.10300309211015701,0.48417237401008606
48,0.18649129569530487,0.3694026470184326,117,0.1936146467924118,0.4253534972667694,1.4819893658754877,5.845156634428384e-05,train,7980,0.5189570188522339,0.16965524852275848,0.18460777401924133
49,0.11352065950632095,0.8585191965103149,111,0.08751410245895386,0.3099202811717987,1.5111778172537582,5.0398051874751274e-05,train,18244,0.7362090945243835,0.09417114406824112,0.42904219031333923
50,0.0638732761144638,0.8151733875274658,123,0.05005042627453804,0.33208557963371277,1.4399884174982185,4.446888568764529e-05,train,9369,0.4334658086299896,0.05330771952867508,0.40738028287887573
51,0.07716388255357742,0.4492623209953308,129,0.09414324164390564,0.963274359703064,1.4011646269205653,4.520758281411552e-05,train,14248,0.314620703458786,0.06889601051807404,0.22451740503311157
52,0.19666661322116852,0.4038778245449066,121,0.18899498879909515,0.30637264251708984,1.456791359774312,5.808285638261277e-05,train,10873,0.5894159078598022,0.17744457721710205,0.20183663070201874
53,0.05059172958135605,0.8058421611785889,142,0.055647943168878555,0.9800539612770081,1.3575281955825083,4.111783924006646e-05,train,16223,7.908329486846924,0.05000000074505806,0.4027170240879059
