noise_dir,noise_level,split,true_a1,pred_a1,true_gamma,pred_gamma,gamma_factor_error,f_relative_l2,g_clean_relative_l2
noise_0pct,0.0,test_independent,0.159718856215477,0.16774170100688934,0.05921071395277977,0.04145294427871704,1.4283837971716764,0.15537582337856293,0.017914511263370514
noise_0pct,0.0,test_independent,0.11922554671764374,0.12201173603534698,0.010557341389358044,0.02513498067855835,2.380805900990829,0.3688160479068756,0.003948438446968794
noise_0pct,0.0,test_independent,0.16434802114963531,0.1692185401916504,0.5607555508613586,0.7880759239196777,1.405382296633782,0.07929352670907974,0.016803747043013573
noise_0pct,0.0,test_independent,0.1373470425605774,0.12812034785747528,0.8790402412414551,0.9379213452339172,1.066983399883156,0.028163248673081398,0.017508171498775482
noise_0pct,0.0,test_independent,0.19935016334056854,0.18888232111930847,0.47086000442504883,0.4281308650970459,1.0998039216778202,0.021485261619091034,0.009910060092806816
noise_0pct,0.0,test_independent,0.09192013740539551,0.07947675883769989,0.8989091515541077,0.9266754388809204,1.0308888693354696,0.027680138126015663,0.020622260868549347
noise_0pct,0.0,test_independent,0.05862993001937866,0.06344657391309738,0.03204116225242615,0.040015678852796555,1.2488834998414136,0.044910918921232224,0.010709824040532112
noise_0pct,0.0,test_independent,0.1974184811115265,0.1888384371995926,0.3513195216655731,0.18386778235435486,1.9107182191848098,0.26356881856918335,0.013297762721776962
noise_0pct,0.0,test_independent,0.07933235168457031,0.06972209364175797,0.9771299958229065,0.9372393488883972,1.0425618567784432,0.01517115905880928,0.01333980355411768
noise_0pct,0.0,test_independent,0.16098134219646454,0.15780854225158691,0.8030056357383728,0.9102462530136108,1.133549021952541,0.03304442763328552,0.013707643374800682
noise_0pct,0.0,test_independent,0.08590748906135559,0.08112853765487671,0.043170005083084106,0.03633234649896622,1.188197549649386,0.03637709841132164,0.009882456623017788
noise_0pct,0.0,test_independent,0.1974184811115265,0.1888384371995926,0.3513195216655731,0.18386778235435486,1.9107182191848098,0.26356881856918335,0.013297762721776962
noise_0pct,0.0,test_independent,0.1469273716211319,0.1521211862564087,0.010983035899698734,0.027706142514944077,2.5226306066889994,0.4341949224472046,0.007708842866122723
noise_0pct,0.0,test_independent,0.18434250354766846,0.1911444067955017,0.03486592695116997,0.028925694525241852,1.2053617907339926,0.042899101972579956,0.013351970352232456
noise_0pct,0.0,test_independent,0.16434802114963531,0.1692185401916504,0.5607555508613586,0.7880759239196777,1.405382296633782,0.07929352670907974,0.016803747043013573
noise_0pct,0.0,test_independent,0.1974184811115265,0.1888384371995926,0.3513195216655731,0.18386778235435486,1.9107182191848098,0.26356881856918335,0.013297762721776962
noise_0pct,0.0,test_independent,0.16434802114963531,0.1692185401916504,0.5607555508613586,0.7880759239196777,1.405382296633782,0.07929352670907974,0.016803747043013573
noise_0pct,0.0,test_independent,0.08590748906135559,0.08112853765487671,0.043170005083084106,0.03633234649896622,1.188197549649386,0.03637709841132164,0.009882456623017788
noise_0pct,0.0,test_independent,0.09192013740539551,0.07947675883769989,0.8989091515541077,0.9266754388809204,1.0308888693354696,0.027680138126015663,0.020622260868549347
noise_0pct,0.0,test_independent,0.1469273716211319,0.1521211862564087,0.010983035899698734,0.027706142514944077,2.5226306066889994,0.4341949224472046,0.007708842866122723
noise_0pct,0.0,test_independent,0.16098134219646454,0.15780854225158691,0.8030056357383728,0.9102462530136108,1.133549021952541,0.03304442763328552,0.013707643374800682
noise_0pct,0.0,test_independent,0.19518327713012695,0.19059883058071136,0.21057425439357758,0.055637430399656296,3.784758801421541,0.7260712385177612,0.018767641857266426
